SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-101.5632819,31.01964236,-101.5631373,31.0194883,FANG,8/29/2017,SPRABERRY LOWER SHALE,9647.0,1654.0,41.0,325.272,823.032,209.208,368.596,6220.478,,20992.219,0.051,2951.7152,0.45,0.008,2.4076,0.217,0.145,0.942,5.4321,223474.0,240,Medium
-101.6067457,32.38617087,-101.6191194,32.42196026,OVV,5/11/2016,WOLFCAMP B,8150.0,1604.0,51.0,189.222,189.222,248.721,248.721,6676.665,377.61,15861.977,0.041,3457.6627,0.411,0.019,2.1894,0.155,0.375,0.958,4.3446,250566.0781,3589,High
-101.3269934,32.21573677,-101.319138,32.18858608,OVV,4/19/2017,WOLFCAMP B,6040.0,1780.0,44.0,198.27,198.27,180.706,180.706,6620.043,340.426,19547.1055,0.054,3054.1572,0.412,0.015,2.5347,0.195,0.237,0.952,3.5576,68109.0,3592,Low
-101.630283,31.89872929,-101.624283,31.88028207,PXD,5/5/2017,SPRABERRY LOWER SHALE,9578.0,1239.0,40.0,2000.0,2000.0,500.0,500.0,5350.701,,10062.257,0.053,2048.8944,0.82,0.009,1.7438,0.234,0.133,0.947,5.3025,274593.625,3381,High
-102.1228071,32.42033091,-102.1172267,32.39632988,PXD,1/26/2019,WOLFCAMP A,10487.0,1907.0,40.0,383.766,383.766,348.477,348.477,6031.654,,18139.238,0.053,3616.2534,0.395,0.009,2.6079,0.191,0.265,0.9,6.959,249672.6094,1495,High
-101.813285,32.148926,-101.8133023,32.14902536,PXD,4/15/2016,WOLFCAMP A,9598.0,1429.0,41.0,264.996,264.996,275.849,275.849,6063.703,,25394.732,0.063,3210.0623,0.336,0.014,3.1058,0.231,0.243,0.926,5.7401,245635.0,1230,Medium
-101.5985475,31.91321238,-101.5985475,31.91321238,COP,7/25/2018,WOLFCAMP B,10329.0,2017.0,52.0,672.645,659.539,13.809,9.06,6656.905,389.399,13979.226,0.042,3380.6993,0.438,0.01,2.1288,0.127,0.439,0.942,6.2268,234669.0,5805,Medium
-102.6060209,33.01961037,-102.6061308,33.01968306,FANG,1/7/2017,SPRABERRY LOWER SHALE,10048.0,1573.0,42.0,660.139,663.237,6.519,11.537,6556.814,,27212.501,0.052,3178.1409,0.257,0.004,3.08,0.211,0.124,0.85,5.5996,243637.8281,5149,Medium
-101.7139135,30.78562283,-101.7139135,30.78562283,XOM,5/17/2018,WOLFCAMP A,10304.0,1408.0,52.0,10.716,10.716,176.558,176.558,6456.702,,16964.682,0.062,4137.9839,0.693,0.007,3.0703,0.201,0.227,0.903,5.6158,232271.2656,2919,Medium
-101.3605955,33.15600393,-101.3593577,33.15634042,COP,10/7/2016,WOLFCAMP B,9843.0,2269.0,63.0,1344.567,624.322,23.914,375.642,6817.874,344.365,13833.408,0.036,4291.7954,0.324,0.018,1.943,0.129,0.458,0.956,6.4967,223794.7188,5776,Medium
-101.1573842,31.60985239,-101.1573931,31.60984743,COP,8/5/2017,DEAN,9836.0,1823.0,39.0,24.187,24.187,150.898,150.898,6391.48,,9367.197,0.049,3837.9438,0.596,,2.276,0.205,0.161,0.749,5.5039,244913.4219,2268,Medium
-101.297694,32.93678662,-101.2979462,32.9372799,PXD,11/10/2015,WOLFCAMP B,9903.0,1609.0,45.0,2000.0,894.752,82.926,500.0,6236.108,487.166,16435.028,0.056,4128.4954,0.666,0.015,2.4933,0.18,0.323,0.943,6.2979,234815.0,178,Medium
-101.4215868,32.36777588,-101.4229155,32.36767347,OVV,10/8/2018,WOLFCAMP B,10161.0,,,25.66,25.66,286.191,15.032,6710.315,473.063,25219.739,0.067,4173.2812,0.478,0.003,3.3732,0.171,0.25,0.903,5.5371,430141.9063,3460,High
-101.2586522,32.2457469,-101.2586522,32.2457469,OVV,2/15/2016,WOLFCAMP B,8112.0,1436.0,50.0,689.426,349.641,158.682,105.929,7063.625,399.217,10359.109,0.032,4462.9012,0.51,0.007,2.1394,0.129,0.396,0.943,4.2078,303791.9688,1031,High
-102.3313773,31.63995699,-102.3313275,31.63995726,XOM,10/9/2017,WOLFCAMP A,10415.0,1110.0,36.0,95.215,95.215,195.409,195.409,5696.502,,18572.83,0.055,3389.9587,0.385,0.022,2.8496,0.193,0.233,0.811,4.8413,98884.0469,224,Low
